# Region type : patch top
# Faces       : 50
# Area        : 1.019804e+01
# Scale factor: 1.000000e+00
# Time        	average(U)
2628000       	0.000000e+00
5256000       	0.000000e+00
7884000       	0.000000e+00
10512000      	0.000000e+00
13140000      	-5.214622e-09
15768000      	-1.415711e-08
18396000      	-1.930475e-08
21024000      	-2.659872e-08
23652000      	-2.190187e-08
26280000      	-2.248678e-10
28908000      	0.000000e+00
31536000      	0.000000e+00
